"Gene_ID","Gene_name","tair_ID"
"AT1G28300 ","LEC2","245669_at"
"AT1G21970","LEC1","260854_at"
"AT5G13790","AGL15 ","250258_at"
"AT1G71830 ","SERK1","261521_at"
"AT1G78080","WIND1","262135_at"
"AT5G17430 ","AIL2/PLT4/BBM","246426_at"
"AT4G37750","ANT","253010_at"
"AT5G57390","AIL5","247904_at"
"AT5G65510","AIL7","247196_at"
"AT2G27250","CLV3","265624_at"
"AT1G65380","CLV2","264183_at"
"AT2G17950","WUS","265821_at"
"AT5G59340 ","WOX2","247714_at"
"AT5G45980","WOX9","248922_at"
"AT1G62360","STM","260632_at"
"AT4G08150","KNAT1/BP","255149_at"
"AT1G70510","KNAT2","260334_at"
"AT5G25220","KNAT3","246930_at"
"AT5G11060","KNAT4 ","245901_at"
"AT4G32040","KNAT5","253466_at"
"AT1G23380","KNAT6","263013_at"
"AT2G37630","AS1","267157_at"
"AT3G54220","SCR","251890_at"
"AT4G37650","SHR","253056_at"
"AT5G03150","JKD ","250982_at"
"AT4G03270","CYCD6","255422_at"
"AT1G26870","FEZ ","263683_at"
"AT1G79580","SMB","261393_at"
"AT1G33280","BRN1","256535_at"
"AT5G16560","KAN1","250132_at"
"AT1G32240","KAN2","245758_at"
"AT4G17695","KAN3","245302_at"
"AT5G42630","KAN4/ATS","249206_at"
"AT2G45190 ","FIL/YAB1/AFO","245138_at"
"AT1G08465","YAB2",NA
"AT4G00180","YAB3","255709_at"
"AT1G23420 ","YAB4/INO","262989_at"
"AT2G26580","YAB5","245029_at"
"AT2G34710","PHB","267316_at"
"AT1G30490","PHV","261800_at"
"AT1G52150 ","CNA/ICU4/ATHB15","265060_at"
"AT4G32880","ATHB8","253402_at"
